Organization Legal Name or 'Doing Business As' Name,Group Practice PAC ID,State,Participating in eRx,Participating in PQRS,Controlling blood sugar levels in patients with diabetes.,Footnote for measure DM 15,Controlling blood pressure in patients with diabetes.,Footnote for measure DM 13,Prescribing aspirin to patients with diabetes and heart disease.,Footnote for measure DM 16,Prescribing medicine to improve the pumping action of the heart in patients who have both heart disease and certain other conditions.,Footnote for measure CAD 7
DARTMOUTH-HITCHCOCK CLINIC,4183537509,NH,Y, ,,.,,.,,.,,.
INFECTIOUS DISEASE CONSULTANTS PA,4183615081,DE, ,Y,,.,,.,,.,,.
THE READING HOSPITAL MEDICAL GROUP,4183623085,PA, ,Y,,.,,.,,.,,.
"PROMEDICA SOUTH PHYSICIANS, LLC",4183690571,OH,Y, ,,.,,.,,.,,.
SAN FRANCISCO OTOLARYNGOLOGY MEDICAL GROUP INC,4183703853,CA, ,Y,,.,,.,,.,,.
ST LOUIS PHYSICAL THERAPY,4183728215,MO, ,Y,,.,,.,,.,,.
EDWARD HEALTH VENTURES,4284531484,IL, ,Y,81,.,82,.,89,.,78,.
"PALO ALTO MEDICAL FOUNDATION FOR HEALTH CARE, RESEARCH AND EDUCATION",4284538778,CA, ,Y,79,.,73,.,91,.,91,.
VALLEY MEDICAL CENTER PLLC,4284539362,ID, ,Y,,.,,.,,.,,.
"UMASS MEMORIAL MEDICAL GROUP, INC.",4284539891,CT, ,Y,,.,,.,,.,,.
CLARKSON FAMILY MEDICINE,4284544461,NE, ,Y,,.,,.,,.,,.
SANFORD CLINIC NORTH,4284546151,MN,Y,Y,79,.,85,.,95,.,80,.
TANNER CLINIC,4284547985,UT, ,Y,,.,,.,,.,,.
BELLINGHAM UROLOGY SPECIALISTS PLLC,4284730714,WA, ,Y,,.,,.,,.,,.
TEXAS HEALTH PHYSICIANS GROUP,4385535954,TX, ,Y,,.,,.,,.,,.
MCV PHYSICIANS,4385542117,VA, ,Y,65,.,55,.,89,.,84,.
MAYO CLINIC HEALTH SYSTEM-ALBERT LEA AND AUSTIN,4385556703,IA, ,Y,71,.,79,.,94,.,89,.
WINCHESTER PHYSICIAN ASSOCIATES,4486540994,MA,Y, ,,.,,.,,.,,.
SWEDISH COVENANT MEDICAL GROUP,4486556016,IL, ,Y,,.,,.,,.,,.
MARY HITCHCOCK MEMORIAL HOSPITAL,4486561164,NH,Y, ,,.,,.,,.,,.
EAR NOSE AND THROAT CENTER A MEDICAL CORPORATION,4486629540,LA, ,Y,,.,,.,,.,,.
"MONTVILLE FAMILY PRACTICE ASSOCIATES, PA",4486640786,NJ,Y, ,,.,,.,,.,,.
SJHMC PHYSICIAN SERVICES C/O CATHOLIC HEALTHCARE WEST,4486646197,AZ,Y, ,,.,,.,,.,,.
"BANDERA FAMILY HEALTH CARE, P. A.",4486655701,TX, ,Y,,.,,.,,.,,.
METHODIST PRIMARY CARE ASSOCIATES,4486711744,TX, ,Y,,.,,.,,.,,.
CLINIC REGIONAL PHYSICIANS LLC,4486714961,OH,Y,Y,49,.,71,.,90,.,83,.
UNIVERSITY PHYSICIANS SPECIALTY CARE ASSOCIATES,4486759560,MO,Y,Y,68,.,66,.,94,.,85,.
CAROLINA FAMILY CARE INC,4587557731,SC, ,Y,82,.,63,.,44,.,83,.
SPECTRUM HEALTH PRIMARY CARE PARTNERS,4587568647,MI,Y, ,,.,,.,,.,,.
"OSU PATHOLOGY SERVICES, LLC",4587569983,OH, ,Y,,.,,.,,.,,.
PEACE HARBOR MEDICAL CENTER,4587573001,OR, ,Y,,.,,.,,.,,.
ALLINA HEALTH SYSTEM,4587573613,MN,Y,Y,81,.,91,.,99,.,76,.
NORTHWESTERN MEDICAL FACULTY FOUNDATION,4587576814,IL,Y,Y,71,.,66,.,52,.,91,.
HUNTINGTON MEDICAL FOUNDATION,4587631601,CA, ,Y,,.,,.,,.,,.
MAYO CLINIC HEALTH SYSTEM-MANKATO,4688585771,MN, ,Y,85,.,92,.,99,.,90,.
"PREMIER CARDIOVASCULAR CENTER, PLC",4688716889,AZ, ,Y,,.,,.,,.,,.
"ORTHOPEDIC INSTITUTE OF NEWPORT BEACH, LP",4688826688,CA, ,Y,,.,,.,,.,,.
ST JOSEPHS MEDICAL PC,4688855844,NY, ,Y,,.,,.,,.,,.
WESTERN CONNECTICUT MEDICAL GROUP  PC,4789597691,CT, ,Y,,.,,.,,.,,.
IPC OF FLORIDA,4789614785,FL, ,Y,,.,,.,,.,,.
"PULMONARY DISEASE SPECIALISTS, PA",4789648072,FL, ,Y,,.,,.,,.,,.
"CHESAPEAKE UROLOGY ASSOCIATES, PA",4789673393,MD, ,Y,,.,,.,,.,,.
UNIVERSITY HOSPITALS MEDICAL GROUP INC,4789682493,OH,Y, ,,.,,.,,.,,.
EXTENDED CARE PHYSICIANS PIEDMONT PA,4789789058,NC,Y, ,,.,,.,,.,,.
PHYSICIANS CLINIC INC,4880506062,IA, ,Y,,.,,.,,.,,.
CAPITAL WOMENS CARE LLC,4880582741,MD, ,Y,,.,,.,,.,,.
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,VA,Y,Y,69,.,66,.,97,.,97,.
"CHS PROFESSIONAL PRACTICE, P.C.",4880591288,NJ, ,Y,,.,,.,,.,,.
REGIONAL HEALTH SERVICES INC,4880593722,PA,Y, ,,.,,.,,.,,.
TMHPO NEUROLOGY DEPARTMENT,4880670108,TX, ,Y,,.,,.,,.,,.
TRI PA,4880675347,KS, ,Y,,.,,.,,.,,.
AUSTIN VEIN CENTER,4880686179,TX, ,Y,,.,,.,,.,,.
"CARDIOLOGY ASSOCIATES OF SUSSEX COUNTY, LLP",4880687953,NJ,Y, ,,.,,.,,.,,.
UNIVERSITY PROFESSIONAL SERVICES,4880760107,OR,Y,Y,71,.,70,.,81,.,92,.
PINE REST CHRISTIAN MENTAL HEALTH SERVICES,4981506508,MI, ,Y,,.,,.,,.,,.
WHITE PLAINS HOSPITAL MEDICAL CENTER,4981593092,NY, ,Y,,.,,.,,.,,.
"PROMEDICA NORTHWEST OHIO CARDIOLOGY CONSULTANTS, LLC",4981752938,MI,Y, ,,.,,.,,.,,.
UNM MEDICAL GROUP INC,4981795267,NM,Y,Y,62,.,70,.,88,.,91,.
STROKE AND NEUROVASCULAR CENTER OF CENTRAL CALIFORNIA,4981875564,CA, ,Y,,.,,.,,.,,.
"PROMEDICA MONROE CARDIOLOGY, PLLC",4981885183,MI,Y, ,,.,,.,,.,,.
EMERGENCY PHYSICIANS OF TIDEWATER,5092618462,VA, ,Y,,.,,.,,.,,.
TOWN MEDICAL ASSOCIATES,5092751842,NJ, ,Y,,.,,.,,.,,.
OCILLA PRIMARY CARE,5193619971,GA, ,Y,,.,,.,,.,,.
"PARK AVENUE MEDICAL ASSOCIATES, P.C.",5193626745,NY,Y, ,,.,,.,,.,,.
HATTIESBURG CLINIC PA,5193706794,MS,Y,Y,69,.,64,.,95,.,84,.
SOUTHERN DELAWARE MEDICAL GROUP,5193725588,DE, ,Y,,.,,.,,.,,.
COLORADO PULMONARY INTENSIVISITS PC,5193726826,CO, ,Y,,.,,.,,.,,.
LARCHMONT IMAGING ASSOCIATES LLC,5193762433,NJ, ,Y,,.,,.,,.,,.
HEALTHTEXAS PROVIDER NETWORK,5193774479,TX,Y, ,,.,,.,,.,,.
MCCLELLANVILLE FAMILY MEDICINE,5193874824,SC, ,Y,74,.,67,.,83,.,84,.
NEWTON MEDICAL CENTER,5294646477,KS, ,Y,,.,,.,,.,,.
INDIANA HEALTHCARE PHYSICIAN SERVICES INC,5294723359,PA, ,Y,,.,,.,,.,,.
VASCULAR VEIN CENTERS,5294796132,FL, ,Y,,.,,.,,.,,.
GASTROINTESTINAL SPECIALISTS INC,5294797957,VA, ,Y,,.,,.,,.,,.
SUMMIT MEDICAL GROUP PA,5395642276,NJ,Y, ,,.,,.,,.,,.
WEST MICHIGAN NEPHROLOGY PC,5395642953,MI,Y, ,,.,,.,,.,,.
GEISINGER CLINIC,5395657001,PA,Y,Y,70,.,83,.,96,.,70,.
RETINA ASSOCIATES SOUTHWEST PC,5395731889,AZ,Y, ,,.,,.,,.,,.
VENTURA COUNTY PULMONARY MEDICAL GROUP,5395772537,CA, ,Y,,.,,.,,.,,.
"EYE CENTER OF NORTHERN COLORADO, P.C.",5496644841,CO, ,Y,,.,,.,,.,,.
"OSU INTERNAL MEDICINE, LLC",5496651408,OH,Y,Y,45,.,71,.,84,.,67,.
COTTON-O'NEIL CLINIC REVOCABLE TRUST,5496659195,KS,Y,Y,76,.,67,.,93,.,82,.
DU PAGE MEDICAL GROUP LTD,5496667941,IL,Y,Y,83,.,76,.,92,.,87,.
VIRGINIA NEUROLOGY AND SLEEP CENTER PC,5496849358,VA, ,Y,,.,,.,,.,,.
"INOVA PHYSICIAN PARTNERS, INC. - SPECIALISTS",5496935231,VA, ,Y,,.,,.,,.,,.
HUTCHINSON CLINIC P A INC,5597658492,KS, ,Y,,.,,.,,.,,.
TRI STATE OBSTETRICS AND GYNECOLOGY,5597659334,PA, ,Y,,.,,.,,.,,.
"BAYVIEW PHYSICIAN SERVICES, PC",5597664201,VA, ,Y,,.,,.,,.,,.
"MANKATO CLINIC, LTD.",5597677955,MN, ,Y,79,.,86,.,100,.,84,.
SANFORD BEMIDJI MEDICAL CENTER,5597725168,MN,Y,Y,71,.,89,.,100,.,86,.
"NORTH ALABAMA ENT ASSOCIATES, P.C.",5597744748,AL, ,Y,,.,,.,,.,,.
"RELIANT MEDICAL GROUP, INC",5597755322,MA,Y, ,,.,,.,,.,,.
ROBERT WOOD JOHNSON PHYSICIAN ENTERPRISE,5597917633,NJ, ,Y,,.,,.,,.,,.
TOWER MULTI-SPECIALTY MEDICAL GROUP,5597929331,CA, ,Y,,.,,.,,.,,.
EVMS HEALTH SERVICES,5698675510,VA,Y,Y,,.,,.,,.,,.
MAYO CLINIC JACKSONVILLE,5698689297,FL, ,Y,84,.,79,.,100,.,95,.
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY, ,Y,59,.,52,.,93,.,74,.
MOUNT SINAI BROOKLYN HEIGHTS MEDICAL GROUP,5698913911,NY, ,Y,,.,,.,,.,,.
"WASHINGTON COUNTY INTERNAL MEDICINE, P.C.",5799671855,GA,Y, ,,.,,.,,.,,.
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI, ,Y,,.,,.,,.,,.
SWEDISHAMERICAN HOSPITAL,5799698346,IL, ,Y,,.,,.,,.,,.
ANDOVER ORTHOPAEDIC SURGERY AND SPORTS MEDICINE PA,5799756235,NJ,Y, ,,.,,.,,.,,.
"BRUCE E. WARDLE', D.O, P.A.",5799769477,TX, ,Y,,.,,.,,.,,.
MILLENNIUM MEDICAL IMAGING PC,5799776910,NY, ,Y,,.,,.,,.,,.
LAKESHORE DERM AND LASER CENTER PLC,5799793006,MI,Y, ,,.,,.,,.,,.
SURGICAL CLINIC P A,5799881082,TX, ,Y,,.,,.,,.,,.
BIMC FACULTY PRACTICE,5799888392,NY, ,Y,54,.,46,.,25,.,76,.
SJMC PHYSICIAN SERVICES,5799932190,TX, ,Y,,.,,.,,.,,.
CARDIOVASCULAR ASSOCIATES,5799970281,TN,Y, ,,.,,.,,.,,.
HOLZER CLINIC LLC,5890606008,OH, ,Y,70,.,72,.,87,.,67,.
ST JOHN MEDICAL CENTER,5890689293,WA, ,Y,,.,,.,,.,,.
EISENHOWER MEDICAL CENTER,5890689657,CA, ,Y,,.,,.,,.,,.
HOUSTON DERMATOLOGY ASSOCIATES PA,5890721294,TX, ,Y,,.,,.,,.,,.
PHYSICIANS OF UNIVERSITY HOSPITAL PC,5890877542,NY, , ,55,.,73,.,86,.,76,.
SCOTTSDALE HEALTHCARE PRIMARY CARE SHEA,5991603110,AZ, ,Y,,.,,.,,.,,.
ST FRANCIS HOSPITAL,5991604753,MI, ,Y,,.,,.,,.,,.
PHYSICIANS ALLIANCE LTD.,5991619892,PA,Y, ,,.,,.,,.,,.
"INPATIENT CONSULTANTS OF NORTH CAROLINA, PC",5991720591,NC, ,Y,,.,,.,,.,,.
PULMONARY CLINIC OF THE CAROLINAS PC,6002041464,NC,Y, ,,.,,.,,.,,.
UNMC PHYSICIANS,6002728391,IA,Y,Y,69,.,67,.,67,.,61,.
NORTHWEST EYE SURGEONS,6002728532,WA, ,Y,,.,,.,,.,,.
GUTHRIE MEDICAL GROUP PC,6002728656,PA,Y,Y,71,.,69,.,94,.,86,.
BILLINGS CLINIC,6002993516,MT,Y, ,,.,,.,,.,,.
UNIVERSITY MEDICAL CENTER,6103724489,AL, ,Y,,.,,.,,.,,.
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,FL, ,Y,,.,,.,,.,,.
SOUTHWEST MEDICAL ASSOCIATES INC.,6103730544,NV, ,Y,,.,,.,,.,,.
HERITAGE VICTOR VALLEY MEDICAL GROUP,6103730569,CA,Y, ,,.,,.,,.,,.
NORTH MISSISSIPPI MEDICAL CLINICS INC,6103736665,AL, ,Y,,.,,.,,.,,.
MERCY HOSPITAL,6103737812,ME, ,Y,,.,,.,,.,,.
CALIFORNIA EMERGENCY PHYSC MED GRP,6103739131,CA, ,Y,,.,,.,,.,,.
SCHENECTADY PATHOLOGY ASSOCIATES PC,6103976980,NY, ,Y,,.,,.,,.,,.
SOUTHWEST PULMONARY ASSOCIATES,6204733165,TX, ,Y,,.,,.,,.,,.
INPATIENT CONSULTANTS OF COLORADO PC,6204748452,CO, ,Y,,.,,.,,.,,.
HEALTHTEXAS-DALLAS DIAGNOSTIC ASSOCIATION,6204817398,TX,Y,Y,81,.,67,.,88,.,65,.
CAPITAL REGION PATHOLOGISTS PC,6204884125,NY, ,Y,,.,,.,,.,,.
"ST VINCENTS MULTISPECIALTY GROUP, INC",6204977218,CT, ,Y,,.,,.,,.,,.
INTERCOASTAL MEDICAL GROUP INC,6305730912,FL, ,Y,,.,,.,,.,,.
MUSC PHYSICIANS,6305758574,SC, ,Y,70,.,61,.,42,.,84,.
PROMEDICA EAST PHYSICIANS,6305820994,OH,Y, ,,.,,.,,.,,.
"ADVANTAGE PHYSICAL THERAPY ASSOCIATES, LLC",6305891219,PA, ,Y,,.,,.,,.,,.
EVERETT CLINIC INC,6406752153,WA,Y,Y,75,.,77,.,83,.,93,.
WESTMED MEDICAL GROUP PC,6406752963,CT,Y, ,,.,,.,,.,,.
"ASPIRUS WAUSAU HOSPITAL, INC",6406757442,WI,Y,Y,83,.,82,.,96,.,68,.
RADIOLOGY IMAGING ASSOCIATES AT STERLING,6406826726,VA, ,Y,,.,,.,,.,,.
BETTER YOURSELF PHYSICAL THERAPY P.C.,6406995935,NY, ,Y,,.,,.,,.,,.
MAYO CLINIC,6507778255,MN, ,Y,75,.,77,.,99,.,93,.
"MAYO CLINIC HEALTH SYSTEM - EAU CLAIRE CLINIC, INC",6507779220,WI, ,Y,79,.,78,.,97,.,91,.
MASSACHUSETTS GENERAL HOSPITAL,6507803806,MA,Y, ,,.,,.,,.,,.
"FOX VALLEY ORTHOPAEDIC ASSOCIATES, S.C.",6507830387,IL, ,Y,,.,,.,,.,,.
IMMEDICENTER TOTOWA,6507851359,NJ, ,Y,,.,,.,,.,,.
ZUHDI TRANSPLANT PHYSICIANS,6507873403,OK, ,Y,,.,,.,,.,,.
"WHEATON FRANCISCAN MEDICAL GROUP-SUSSEX, INC.",6507877891,WI, ,Y,,.,,.,,.,,.
PRIMED  LLC,6608764394,CT,Y, ,,.,,.,,.,,.
"BOSTON UNIVERSITY NEUROLOGY ASSOCIATES, INC.",6608772462,MA, ,Y,,.,,.,,.,,.
UW MEDICAL FOUNDATION,6608785464,WI,Y, ,,.,,.,,.,,.
"RESPIRATORY HEALTH AND CRITICAL CARE ASSOCIATES, LLC",6608821913,NJ,Y, ,,.,,.,,.,,.
"TALLAHASSEE EAR, NOSE AND THROAT-HEAD AND NECK SURGERY, P.A.",6608858840,FL, ,Y,,.,,.,,.,,.
PHYSICAL THERAPY OUTPATIENT CLINIC,6608896170,AL, ,Y,,.,,.,,.,,.
HRP LABS,6608959804,PR, ,Y,,.,,.,,.,,.
"WELLSTAR MEDICAL GROUP, LLC",6709065402,GA,Y, ,,.,,.,,.,,.
PIKEVILLE MEDICAL CENTER INC,6709790157,KY, ,Y,,.,,.,,.,,.
ST LUKE'S PHYSICIAN GROUP INC,6709798333,PA, ,Y,69,.,70,.,71,.,77,.
INPATIENT CONSULTANTS OF MICHIGAN PC,6709891286,MI, ,Y,,.,,.,,.,,.
"INPATIENT CONSULTANTS OF ALABAMA, INC",6709983422,AL, ,Y,,.,,.,,.,,.
"IPC HOSPITALISTS OF NEW MEXICO, INC",6800051509,NM, ,Y,,.,,.,,.,,.
"ADVANCED CARDIOLOGY ASSOCIATES, PC",6800058199,MI, ,Y,,.,,.,,.,,.
SANFORD HEALTH NETWORK,6800707100,MN,Y,Y,83,.,72,.,100,.,89,.
WOOSTER CLINIC LLC,6800708124,OH,Y,Y,74,.,76,.,89,.,76,.
UNIVERSITY MEDICAL SERVICE ASSOCIATION INC,6800790221,FL, ,Y,,.,,.,,.,,.
LOWELL FAMILY MEDICAL CENTER,6800855586,MI, ,Y,,.,,.,,.,,.
PHYSICANS CLINIC AT MHG,6800961749,MS, ,Y,,.,,.,,.,,.
"PULMONARY MEDICAL ASSOCIATES, LLP",6901852979,NJ,Y, ,,.,,.,,.,,.
"ORTHOPEDICSNY,LLP",6901898170,NY, ,Y,,.,,.,,.,,.
"NORTHEAST GEORGIA PHYSICIANS GROUP, INC.",6901898386,GA, ,Y,83,.,67,.,82,.,65,.
CENTER FOR PRENATAL DIAGNOSIS,7012047640,IN, ,Y,69,.,70,.,73,.,69,.
HEARTWELL LLP,7012065329,FL,Y,Y,,.,,.,,.,,.
LENOX HILL HOSPITAL MEDICAL PC,7012188568,NY,Y, ,,.,,.,,.,,.
BOSTON UNIVERSITY DERMATOLOGY INC,7012803919,MA, ,Y,,.,,.,,.,,.
"COMMUNITY MEDICAL ASSOCIATES, INC.",7012811284,IN, ,Y,,.,,.,,.,,.
MAYO CLINIC ARIZONA,7012829930,AZ, ,Y,75,.,69,.,92,.,97,.
PROMEDICA CORPORATION OF MICHIGAN,7012902265,MI,Y, ,,.,,.,,.,,.
"RADIOLOGY ASSOCIATES OF BURLINGTON COUNTY, P.A.",7012954381,NJ, ,Y,,.,,.,,.,,.
SIMMONDS MARTIN AND HELMBRECHT CHARTERED,7012985492,MD, ,Y,,.,,.,,.,,.
"FAMILY PRACTICE ASSOCIATES, PA",7012985641,DE, ,Y,,.,,.,,.,,.
FRISBIE MEMORIAL HOSPITAL,7012996275,NH, ,Y,80,.,80,.,92,.,75,.
FAIRVIEW CLINICS - ST FRANCIS,7113830142,MN,Y,Y,81,.,86,.,99,.,92,.
ST. LUKE'S HOSPITAL ASSOCIATION OF DULUTH,7113834839,WI, ,Y,,.,,.,,.,,.
"INTERNAL MEDICINE ASSOCIATES, P.A.",7113914458,DE, ,Y,,.,,.,,.,,.
CLINICAL PATHOLOGY ASSOCIATES,7113942798,TX, ,Y,,.,,.,,.,,.
"ACUTE CARE SURGERY MEDICAL GROUP, INC.",7214006816,CA, ,Y,,.,,.,,.,,.
IPC HOSPITALIST SERVICES OF NEW YORK PC,7214189224,NY, ,Y,,.,,.,,.,,.
"WKQ, INC",7214195395,MI,Y, ,,.,,.,,.,,.
MOUNT VERNON REHABILITATION MEDICINE ASSOCIATES,7214828086,VA, ,Y,,.,,.,,.,,.
TEXAS HEALTH CARE PLLC,7214840867,TX,Y, ,,.,,.,,.,,.
SPORTSMED ORTHOPAEDIC SPECIALISTS,7214903723,AL, ,Y,,.,,.,,.,,.
ORTHOPAEDIC ASSOCIATES OF MUSKEGON PC,7214908045,MI,Y, ,,.,,.,,.,,.
BEND MEMORIAL CLINIC PC,7214936533,OR, ,Y,,.,,.,,.,,.
"DERMATOLOGIST MEDICAL GROUP OF NORTH COUNTY, INC",7315849981,CA, ,Y,,.,,.,,.,,.
PROMED HEALTHCARE,7315856077,MI, ,Y,,.,,.,,.,,.
SOUTHEASTERN REGIONAL MEDICAL CENTER,7315857141,NC, ,Y,,.,,.,,.,,.
ST JOHN MACOMB OAKLAND HOSPITAL,7315859725,MI, ,Y,,.,,.,,.,,.
HEALTH FIRST MEDICAL GROUP LLC,7416100672,FL, ,Y,,.,,.,,.,,.
DCHS MEDICAL FOUNDATION - MCKEE,7416119110,CA, ,Y,,.,,.,,.,,.
ILLINOIS COLLEGE OF OPTOMETRY,7416851639,IL, ,Y,,.,,.,,.,,.
MHS PHYSICIAN SERVICES,7416860440,WI,Y,Y,78,.,75,.,86,.,85,.
LANGHORNE PHYSICIAN SERVICES,7416861885,PA, ,Y,,.,,.,,.,,.
REGENTS OF THE UNIVERSITY OF CALIFORNIA,7416869516,CA, ,Y,,.,,.,,.,,.
DIAGNOSTIC IMAGING CENTERS PA,7416926613,KS, ,Y,,.,,.,,.,,.
EVANS MEDICAL FOUNDATION,7416946546,MA, ,Y,,.,,.,,.,,.
BRAIN AND SPINE IMAGING CENTER,7517854367,WA, ,Y,,.,,.,,.,,.
"CONNECTICUT MULTISPECIALTY GROUP, PC",7517863749,CT, ,Y,,.,,.,,.,,.
LAKESIDE COMMUNITY HEALTHCARE,7618005166,CA,Y, ,,.,,.,,.,,.
MID-ILLINOIS HEMATOLOGY ONCOLOGY ASSOCIATES LTD,7618039470,IL, ,Y,,.,,.,,.,,.
"NORTH SHORE LIJ MEDICAL GROUP AT NORTH NASSAU, PC",7618154550,NY,Y, ,,.,,.,,.,,.
INPATIENT CONSULTANTS OF CALIFORNIA INC,7618861501,CA, ,Y,,.,,.,,.,,.
"LEXINGTON COUNTY HEALTH SERVICES DISTRICT, INC.",7618871799,SC, ,Y,,.,,.,,.,,.
"BOSTON UNIVERSITY NEUROSURGICAL ASSOCIATES, INC.",7618876798,MA, ,Y,,.,,.,,.,,.
GI SPECIALISTS,7618881905,KS,Y, ,,.,,.,,.,,.
STATE UNIVERSITY OF IOWA,7618884230,IA,Y, ,,.,,.,,.,,.
RHPN ALL ABOUT WOMEN,7618889213,PA, ,Y,,.,,.,,.,,.
SIGNATURE MEDICAL GROUP,7719876267,MA, ,Y,72,.,78,.,80,.,76,.
OHIO ENT,7719881960,OH, ,Y,,.,,.,,.,,.
PACIFIC SPORTS MEDICINE,7719899897,WA,Y,Y,77,.,75,.,94,.,91,.
DIGNITY HEALTH MEDICAL FOUNDATION,7810800661,CA,Y,Y,0,.,69,.,76,.,98,.
DUBUQUE INTERNAL MEDICINE PC,7810805058,IA,Y, ,,.,,.,,.,,.
"INPATIENT CONSULTANTS OF TEXAS, PLLC",7810809225,TX, ,Y,,.,,.,,.,,.
ASSOCIATED SURGEONS OF SAN LUIS OBISPO,7810949989,CA, ,Y,,.,,.,,.,,.
IMMEDICENTER BLOOMFIELD,7810974557,NJ, ,Y,,.,,.,,.,,.
FACULTY PRACTICE FOUNDATION INC BOSTON UNIV PSYCHIATRY ASSOC INC,7911805361,MA, ,Y,,.,,.,,.,,.
CLEVELAND CLINIC FLORIDA,7911807128,FL,Y,Y,77,.,65,.,83,.,82,.
ST. PETERS COMMUNITY HOSPITAL,7911814926,MT, ,Y,75,.,74,.,90,.,88,.
JEFFERSON UNIVERSITY PHYSICIANS,7911819180,NJ,Y,Y,68,.,67,.,88,.,82,.
"KSB MEDICAL GROUP, INC.",7911890009,IL, ,Y,77,.,71,.,97,.,76,.
ATTAIN THERAPY AND FITNESS,7911979950,MA, ,Y,,.,,.,,.,,.
MEDICAL IMAGING CENTER,7911991831,NY, ,Y,,.,,.,,.,,.
DARTMOUTH HITCHCOCK BEDFORD,8022019215,NH,Y, ,,.,,.,,.,,.
INTERNAL MEDICINE PHYSICIANS INC,8022032234,UT, ,Y,,.,,.,,.,,.
"FINIZIO-RADIOLOGY IMAGING ASSOCIATES, P.C.",8022081280,MD, ,Y,,.,,.,,.,,.
"PAUL GETZ, M.D., S.C.",8022116730,IL,Y, ,,.,,.,,.,,.
EXTENDED CARE PHYSICIANS - COASTAL PA,8022181916,NC,Y, ,,.,,.,,.,,.
OPTIMED HOSPITALISTS,8022204171,NC, ,Y,,.,,.,,.,,.
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY, ,Y,,.,,.,,.,,.
KANSAS CITY INTERNAL MEDICINE PA,8022907583,KS, ,Y,,.,,.,,.,,.
MESABA CLINICS,8022920024,MN, ,Y,,.,,.,,.,,.
ST LOUIS UNIVERSITY,8022921964,MO, ,Y,54,.,57,.,98,.,67,.
LEWIN AND NADAR CARDIOLOGY ASSOCIATES,8022922202,PA, ,Y,,.,,.,,.,,.
EUREKA DIAGNOSTIC IMAGING PC,8123013208,VT, ,Y,,.,,.,,.,,.
SCOTT AND WHITE MEMORIAL HOSPITAL,8123076015,TX,Y, ,,.,,.,,.,,.
"STERN CARDIOVASCULAR FOUNDATION, INC",8123200540,MS, ,Y,,.,,.,,.,,.
WELLMONT MEDICAL ASSOCIATES INC,8123291739,TN,Y, ,,.,,.,,.,,.
SCOTT AND WHITE BONE AND JOINT INSTITUTE-BRENHAM,8123923604,TX,Y, ,,.,,.,,.,,.
DESERT OASIS HEALTHCARE,8123930427,CA,Y, ,,.,,.,,.,,.
"POTTSTOWN MEDICAL SPECIALISTS, INC",8224024096,PA, ,Y,,.,,.,,.,,.
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,NC, ,Y,,.,,.,,.,,.
BERKSHIRE FACULTY SERVICES INC,8224068424,MA, ,Y,,.,,.,,.,,.
"EAST BAY RETINA CONSULTANTS, INC.",8224084405,CA,Y, ,,.,,.,,.,,.
MOUNT SINAI ELMHURST FACULTY PRACTICE GROUP,8224282926,NY, ,Y,71,.,68,.,58,.,95,.
JOHNS HOPKINS COMMUNITY PHYSICIANS,8325943707,MD, ,Y,46,.,45,.,75,.,72,.
MARYMOUNT MEDICAL CENTER PHYSICIAN SERVICES,8325948599,KY, ,Y,,.,,.,,.,,.
SANFORD USD MEDICAL CENTER,8325950215,SD,Y,Y,84,.,73,.,100,.,91,.
AFFILIATED COMMUNITY MEDICAL CENTERS,8325952823,MN, ,Y,,.,,.,,.,,.
VALLEY MEDICAL FACILITIES INC,8325956592,PA, ,Y,,.,,.,,.,,.
SUTTER EAST BAY MEDICAL FOUNDATION,8426039694,CA, ,Y,66,.,70,.,72,.,46,.
PERMIAN PREMIER HEALTH SERVICES INC,8426051293,TX, ,Y,,.,,.,,.,,.
"HOSPITALIST MEDICINE PHYSICIANS OF CALIFORNIA, INC",8426062027,CA, ,Y,,.,,.,,.,,.
"SUTTER BUTTES IMAGING MEDICAL GROUP, INC.",8426154261,CA, ,Y,,.,,.,,.,,.
INOVA HEALTH CARE SERVICES - PATHOLOGY,8426241647,VA, ,Y,,.,,.,,.,,.
"RICHMOND GASTROENTEROLOGY ASSOCIATES, INC.",8426950692,VA, ,Y,,.,,.,,.,,.
BRIGHT HEALTH PHYSICIANS OF PIH,8426951328,CA, ,Y,,.,,.,,.,,.
UNIVERSITY OF SOUTH ALABAMA HEALTH SERVICES FOUNDATION,8426957952,AL, ,Y,68,.,64,.,95,.,91,.
UT PHYSICIANS,8426960360,TX,Y,Y,61,.,59,.,74,.,87,.
SANFORD MEDICAL CENTER FARGO,8426967803,MN,Y,Y,78,.,74,.,98,.,84,.
SACRED HEART PHYSICIANS,8527016039,OR, ,Y,,.,,.,,.,,.
S.B.J.S. PC,8527043421,AL, ,Y,,.,,.,,.,,.
NORTH OTTAWA MEDICAL GROUP,8527078583,MI, ,Y,,.,,.,,.,,.
SAINT JOSEPH PRIMARY CARE ASSOCIATES,8527092345,KY, ,Y,,.,,.,,.,,.
